id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1208770572840251392,1208770572840251392,2019-12-22 23:25:37 CST,2019-12-22,23:25:37,+0800,2850269319,roryjosephquinn,Rory Quinn,,A summary of talks from IEEE #Vis2019 conference #dataviz  https://t.co/5CABu4IjSD,en,[],['https://medium.com/multiple-views-visualization-research-explained/a-reflection-on-vis2019-or-how-doomed-are-we-21b90d8b8ab5'],[],0,0,0,"['vis2019', 'dataviz']",[],https://twitter.com/RoryJosephQuinn/status/1208770572840251392,False,,0,,,,,,,,[],,,,
1205285053149798400,1205285053149798400,2019-12-13 08:35:24 CST,2019-12-13,08:35:24,+0800,993576667208601600,alexkale17,Alex Kale,,"ICYMI: I gave a talk at the #VisxVision Workshop at #VIS2019. In the talk ( https://t.co/XAOkHloZUJ, 43:11) and paper ( https://t.co/leK7892P0l), @JessicaHullman and I examine how users form priors through previous experience with visualizations and how this impacts perception.",en,"[{'screen_name': 'jessicahullman', 'name': 'jessica hullman', 'id': '1556132462'}]","['https://vimeo.com/378353877', 'https://tinyurl.com/wrtkxoz']",[],1,2,6,"['visxvision', 'vis2019']",[],https://twitter.com/AlexKale17/status/1205285053149798400,False,,0,,,,,,,,[],,,,
1198289170659233793,1198289170659233793,2019-11-24 01:16:16 CST,2019-11-24,01:16:16,+0800,275112702,voiceofvocer,VOCER,,Und los geht es mit dem VOCER Innovation Salon 2019: @MajaWeber1 im Gespräch mit @BastianBerbner #vis2019  https://t.co/6wNIwRGOW4,de,"[{'screen_name': 'majaweber1', 'name': 'maja weber', 'id': '577995258'}, {'screen_name': 'bastianberbner', 'name': 'bastian berbner', 'id': '338552148'}]",[],['https://pbs.twimg.com/media/EKEtpXvW4AAtQLc.jpg'],0,1,9,['vis2019'],[],https://twitter.com/VoiceOfVocer/status/1198289170659233793,False,,1,https://pbs.twimg.com/media/EKEtpXvW4AAtQLc.jpg,,,,,,,[],,,,
1197222720364171264,1197222720364171264,2019-11-21 02:38:34 CST,2019-11-21,02:38:34,+0800,102412944,manaswisaha,Manaswi Saha,,"“A Reflection on #VIS2019: Or, How Doomed Are We?” by Michael Correll ⁦@Birdbassador⁩  https://t.co/tVbu9PkugD",en,"[{'screen_name': 'birdbassador', 'name': 'the birdbassador', 'id': '274254972'}]",['https://link.medium.com/98xYHO2bM1'],[],0,0,1,['vis2019'],[],https://twitter.com/manaswisaha/status/1197222720364171264,False,,0,,,,,,,,[],,,,
1191637011653775361,1191637011653775361,2019-11-05 16:42:57 CST,2019-11-05,16:42:57,+0800,1125653455152934912,hoanghiem3,Hoa Nghiem,,What's your symbol of dignity? Excercise with #VIS2019 #IntegrityMe #Vietnam #nguoilamvuon #towardstransparency #HRE  https://t.co/r7kDzne8kq,en,[],[],['https://pbs.twimg.com/media/EImLi9YUEAALslu.jpg'],0,1,7,"['vis2019', 'integrityme', 'vietnam', 'nguoilamvuon', 'towardstransparency', 'hre']",[],https://twitter.com/HoaNghiem3/status/1191637011653775361,False,,1,https://pbs.twimg.com/media/EImLi9YUEAALslu.jpg,,,,,,,[],,,,
1188188731813126144,1188188731813126144,2019-10-27 04:20:43 CST,2019-10-27,04:20:43,+0800,2594440033,zhutianchen,Zhutian Chen,,Stack area chart  #VIS2019 #Vancouver  https://t.co/NnrfHjOZik,en,[],[],['https://pbs.twimg.com/media/EH1LQ7ZXkAA1L86.jpg'],0,0,4,"['vis2019', 'vancouver']",[],https://twitter.com/ZhutianChen/status/1188188731813126144,False,,1,https://pbs.twimg.com/media/EH1LQ7ZXkAA1L86.jpg,,,,,,,[],,,,
1187537094035546112,1187537094035546112,2019-10-25 09:11:21 CST,2019-10-25,09:11:21,+0800,34232100,visualdkarl,Daniel Karl,,"Conditional Parallel Coordinates @ VIS2019, Vancouver. #ieeevis #vis2019  https://t.co/HURwmR30oo",fr,[],[],"['https://pbs.twimg.com/media/EHr6r7eXUAAyFMd.jpg', 'https://pbs.twimg.com/media/EHr6r7eXkAEE8Cz.jpg']",0,0,1,"['ieeevis', 'vis2019']",[],https://twitter.com/visualdkarl/status/1187537094035546112,False,,1,https://pbs.twimg.com/media/EHr6r7eXUAAyFMd.jpg,,,,,,,[],,,,
1187493152816541699,1187493152816541699,2019-10-25 06:16:44 CST,2019-10-25,06:16:44,+0800,34232100,visualdkarl,Daniel Karl,,Conditional Parallel Coordinates  https://t.co/5wLJgZVqip  Simultaneously compare machine learning pipelines and hyper parameters. #ai #vis #ml  #ieeevis #vis2019,en,[],['https://arxiv.org/abs/1906.07716'],[],0,0,2,"['ai', 'vis', 'ml', 'ieeevis', 'vis2019']",[],https://twitter.com/visualdkarl/status/1187493152816541699,False,,0,,,,,,,,[],,,,
1187403824690094080,1187403824690094080,2019-10-25 00:21:47 CST,2019-10-25,00:21:47,+0800,288395998,duruofei,Ruofei Du,,Congratulations to @benbendc and @VarshneyAmitabh for joining the #Visualization Academy #Vis2019,en,"[{'screen_name': 'benbendc', 'name': 'ben shneiderman', 'id': '17268874'}, {'screen_name': 'varshneyamitabh', 'name': 'amitabh varshney', 'id': '4361862099'}]",[],[],0,0,4,"['visualization', 'vis2019']",[],https://twitter.com/DuRuofei/status/1187403824690094080,False,https://twitter.com/VarshneyAmitabh/status/1187149526018203648,0,,,,,,,,[],,,,
1187080532980449282,1187080532980449282,2019-10-24 02:57:08 CST,2019-10-24,02:57:08,+0800,1636029540,nu_camd,NortheasternCAMD,,We are representing our graduate degree offerings in #Information #Design &amp; #Visualization at the #IEEVis conference in Vancouver. Thanks to our friends from @NU_Vancouver for stopping by &amp; grabbing a photo of our faculty + #data experts @pciuccarelli + @pmcruz! #VIS2019  https://t.co/swqPf47riT,en,"[{'screen_name': 'pciuccarelli', 'name': 'paolo ciuccarelli', 'id': '17581976'}, {'screen_name': 'pmcruz', 'name': 'pedro m. cruz', 'id': '19500028'}]",[],['https://pbs.twimg.com/media/EHlbcUgUcAAi__5.jpg'],0,0,7,"['information', 'design', 'visualization', 'ieevis', 'data', 'vis2019']",[],https://twitter.com/NU_CAMD/status/1187080532980449282,False,,1,https://pbs.twimg.com/media/EHlbcUgUcAAi__5.jpg,,,,,,,[],,,,
